电影名称,类型,导演,演员,上映时间,简介,头图
速度与激情5,动作 犯罪 剧情 惊悚,林诣彬,范·迪塞尔 保罗·沃克 道恩·强森 乔丹娜·布鲁斯特,2011-05-12,随着这个充满着紧张刺激的各种飞车和爆炸场景的电影系列发展到第5个故事篇章，由此创造出的不仅仅是更加宏大的背景幕布，同时也是在将大众化的影响力扩充至全世界的各个角落，作为开创了这套冒险传奇的动作搭档，前警探布莱恩·奥康纳 （ 保罗·沃克 饰）和曾坐过牢的多米尼克·特莱托 （ 范·迪塞尔 饰）再一次聚首到了一起，因为他们发现自己置身在的是一个异常陌生的环境当中，一起走进了很有异域风情的里约热内卢的犯罪世界。当我们最后一次看到他们的时候，布莱恩和米娅·特莱托 （ 乔丹娜·布鲁斯特 饰）帮助多米尼克摆脱了警方的扣押，然后一口气穿越了很多国家的边境，就为了躲避执法机构的围追堵截，如今，他们退却到了里约热内卢的一个秘密的角落，必须得想办法完成最后一项任务。他们别无选择，只能通过这样的手段去获取期盼已久的真正的自由，他们需要做的就是集结一个顶级的精英团队，全部都是由他们最为信赖且视作家人的朋友组成的，他们需要共同密谋的是一起价值1亿美元的疯狂的抢劫案——多米尼克和布莱恩知道这是他们最后的机会，可以帮助他们永远地摆脱邪恶且堕落的商人赫南·雷耶斯 （乔奎姆·德·阿尔梅达饰）的控制，不过，他并不是惟一一个紧紧追随在他们身后的敌人。 顽固又强悍的联邦特工卢克·霍布斯 （道恩·强森饰）是永远不会让敌人从自己眼前溜走的，当他接受委派追捕多米尼克与布莱恩的时候，他和他的突击队将会不惜一切代价完成任务。可是，他们来到巴西之后，卢克却陷入到了迷惑当中，因为他发现自己已经没办法明确地分辨出，谁是好人，谁又是坏人，他只能依靠自己的本能来完成这次行动了，而且还得抢在别人的前面才有可能成功 。,https://p0.pipi.cn/mmdb/d2dad592c7e7e1b535313902077823a5dd2c1.jpg?imageView2/1/w/464/h/644
巨齿鲨,动作 冒险 科幻,乔·德特杜巴,杰森·斯坦森 李冰冰 雷恩·威尔森 鲁比·罗丝,2018-08-10,一项由中国主导的国际科研项目，正在马里亚纳海沟深处进行，却突遭未知生物攻击，科研人员被困海底。前美国海军陆战队深海潜水专家乔纳斯·泰勒 （ 杰森·斯坦森 饰）受命前往营救，再度遭遇数年前曾在深海给自己留下终身难以磨灭记忆的史前生物巨齿鲨。乔纳斯联手科研项目中的中国女科学家张苏茵 （ 李冰冰 饰 ）成功营救了被困人员，但营救行动却发生了一系列意外，当史前巨兽巨齿鲨逃离深海，众人将面临一场史无前例的灾难危机 。,https://p0.pipi.cn/mmdb/d2dad5927e10fad236ddd2d863b10685a6961.jpg?imageView2/1/w/464/h/644
巨齿鲨,动作 冒险 科幻,乔·德特杜巴,杰森·斯坦森 李冰冰 雷恩·威尔森 鲁比·罗丝,2018-08-10,一项由中国主导的国际科研项目，正在马里亚纳海沟深处进行，却突遭未知生物攻击，科研人员被困海底。前美国海军陆战队深海潜水专家乔纳斯·泰勒 （ 杰森·斯坦森 饰）受命前往营救，再度遭遇数年前曾在深海给自己留下终身难以磨灭记忆的史前生物巨齿鲨。乔纳斯联手科研项目中的中国女科学家张苏茵 （ 李冰冰 饰 ）成功营救了被困人员，但营救行动却发生了一系列意外，当史前巨兽巨齿鲨逃离深海，众人将面临一场史无前例的灾难危机 。,https://p0.pipi.cn/mmdb/d2dad5927e10fad236ddd2d863b10685a6961.jpg?imageView2/1/w/464/h/644
来聊聊须绪美吧,剧情 喜剧 悬疑,三谷幸喜,长泽雅美 西岛秀俊 松坂桃李 濑户康史,2024-09-13,三谷幸喜自编自导。大富豪的妻子须绪美突然失踪，在得知她失踪后，在丈夫居住的豪宅集结的是爱过她的5个男人。但是他们所说的须绪美，无论是外表还是性格，都像是换了一个人。那么，到底须绪美的真面目是什么呢？,https://p0.pipi.cn/basicdata/54ecded78ea0e12ff7c9fdb42c6b8331d54e4.jpg?imageView2/1/w/464/h/644
四月女友,爱情 剧情,山田智和,佐藤健 长泽雅美 森七菜 仲野太贺,2024-05-18,本片改编自川村元气的人气小说，山田智和导演。佐藤健饰演正在进行结婚准备的精神科医生藤代。他10年前交往的恋人春（森七菜）从玻利维亚、捷克、冰岛依次寄来了写满初恋回忆的信件。这时，他的未婚妻弥生（长泽）突然消失，藤代开始寻找着所爱之人的真相。,https://p0.pipi.cn/mmdb/54ecde87f2a9238ea3be127f09b27e6e86f8d.jpg?imageView2/1/w/464/h/644
宝可梦：皮卡丘和可可的冒险,动画,矢岛哲生,皮卡丘 松本梨香 大谷育江 中村勘九郎,2021-09-10,《宝可梦：皮卡丘和可可的冒险》讲述的是小智与皮卡丘在森林中偶遇少年可可的冒险故事。在森林遇到危机时，小智、皮卡丘和可可挺身而出，为保护宝可梦而战。与前几部宝可梦大电影不同的是，除了可爱的宝可梦形象外，本片更注重讲述了萨戮德与可可之间温暖而独特的父子之情。让观众们被萌萌的宝可梦所吸引的同时，还会感受到更多来自影片的情感共鸣。与此同时，影片中还讲述了宝可梦与人类团结一心拯救森林危机的动人故事，使影片再次得到情感上的升华。,https://p0.pipi.cn/mmdb/d2dad5927a30e1d23cb860b20f338ba2855f9.jpg?imageView2/1/w/464/h/644
最好的我们,爱情 青春,章笛沙,陈飞宇 何蓝逗 惠英红 陶慧敏,2019-06-06,每个人的心里大概都藏着一个念念不忘的人。一个偶然被提及的名字，让女摄影师耿耿 （ 何蓝逗 饰）内心掀起万千波澜，触动了回忆的开关，那个撩人心动的少年余淮 （ 陈飞宇 饰）再度闯进她的思绪。那是记忆里最好的时光，“学渣”耿耿和“学霸”余淮成了同桌，还结识了简单 （ 王初伊 饰）、贝塔 （ 周楚濋 饰）、徐延亮 （ 陈帅 饰）。校园里充盈着专属少男少女们的懵懂、青涩、怦然心动和勇敢， 耿耿余淮也拥有了他们的约定。高考后，当耿耿满怀期待憧憬约定兑现之时，余淮却忽然消失不见了。七年后两人重逢，余淮当年未说出口的那句话、他不辞而别的秘密，耿耿能否得到解答。这段耿耿于怀的过往，让两人再度面临情感的抉择。,https://p0.pipi.cn/mmdb/d2dad5925370fa50c87df50a099d7dfe90dba.jpg?imageView2/1/w/464/h/644
银河宝贝,喜剧 动画 冒险 动作,江南,,2021-04-17,在银河系中有⼀颗机器⼈居住的⾏星——哈帝星，由于哈帝星正⾯着临巨⼤的能源危机。犀⽜博⼠派星宝 带领V5能源⼩队去地球回收“梦多拉晶⽯”，来缓解哈帝星的能源危机。由此，V5战队开展了⼀段在地 球的奇妙之旅… …随着能源⼩队⽽来的，还有为梦多拉晶⽯⽽来的反派——巫巫鸦⼩队，⾸次交锋后巫巫鸦⼩队落荒⽽逃。地球⼈伟吉带着星宝⼀⾏到博物馆寻找晶⽯，藏在电机⾥的晶⽯阴差阳错的启动， 帮助了伟吉和星宝再⼀次战胜了巫巫鸦⼩队。然⽽，事情远没有那么简单，原来犀⽜博⼠集齐晶⽯是为了 称霸宇宙的计划！让犀⽜博⼠没想到的是，发⽣的这⼀切都被巫巫鸦监控到了，此时最后⼀颗晶⽯也已经 被巫巫鸦找到。狡诈的犀⽜博⼠为操控V5战队带上勋章，指挥战队去抢夺最后⼀颗晶⽯，但意志⼒惊⼈ 的星宝还是冲破了犀⽜博⼠的控制，和巫巫鸦并肩战⽃，两个战队为了阻⽌犀⽜博⼠的计划。,https://p0.pipi.cn/mmdb/d2dad5927a3be1339e7df5a9764d75a139c1b.jpg?imageView2/1/w/464/h/644
因果报应,惊悚 恐怖,未公布,龙天翔 司马三三 叶嘉菱,1988,当铺大亨乔逸华，在独生女乔琪生日舞会中邪，引起一连串的离奇命案。琪的男友小伟为救琪，差点一命呜呼。原来时间关系到二十年前的一单冤案，乔逸华、陈子宽和女儿陈玉梅多年来为掩埋犯罪证据不惜杀害人命，因而引来鬼魂出现索命。,https://p0.pipi.cn/basicdata/54ecded7e7a0e17a3550c815674219b9520a1.jpg?imageView2/1/w/464/h/644
二手杰作,剧情 喜剧,王子昭,于和伟 郭麒麟 倪虹洁 许恩怡,2023-10-27,这是一个关于「儿子“死”了，爸爸“红”了」的荒诞故事。儿子坠楼“自杀”，父亲替儿子写了一封才华横溢的代笔遗书，竟然一夜成名… 马寅波（于和伟 饰）是位高中语文老师，人到中年，哪哪不行。儿子马墨（郭麒麟 饰）坠楼“自杀”，马寅波为了面子替儿子写了一封遗书，竟然让儿子一夜爆红，而他也假借儿子的名义，实现了自己逐梦文学圈的愿望，出书、炒作、颁奖，红得不亦乐乎。但儿子的突然醒来，让整件事情的发展变得越发离谱…,https://p0.pipi.cn/mmdb/fb738651b532ff0e133ba33fb8cff00145aa4.jpg?imageView2/1/w/464/h/644
怪化猫剧场版：唐伞,动画 悬疑 恐怖 奇幻,中村健治,神谷浩史 樱井孝宏 黑泽朋世 悠木碧,2024-07-26,与才貌兼备的朝一同寻觅居所的龟，作为新晋女佣踏入了大奥，并参与了融入集体的仪式。在这座为了大奥繁荣而汇聚女佣的歌山，她面无表情的背后似乎隐藏着不为人知的秘密。随着时间的推移，某种力量逐渐笼罩在这些女佣之上，最终引发了一场悲剧。,https://p0.pipi.cn/basicdata/54ecde3380702f5bf171f7b28b4e648e96c9e.jpg?imageView2/1/w/464/h/644
建军大业,剧情 历史,刘伟强,刘烨 朱亚文 黄志忠 王景春,2017-07-28,1927年， 北伐战争刚取得重大成果之际， 国民党反动派为夺权叛变革命，发动了疯狂的“清共”行动，短短数月，近31万进步同胞遭到残酷杀害，全国震惊，刚刚看到希望的中国即将再次陷入 军阀混战和独裁专制的深渊。由于没有自己的武装力量，成立不足7年的 中国共产党在 国民党反动派的疯狂进攻下，几乎遭遇毁灭性打击。血的教训使 毛泽东、 周恩来等党内进步分子认识到了“ 枪杆子里面出政权”的硬道理。生死存亡之际，他们临危受命，冒着生命危险分赴 湖南和 南昌等地，联合 朱德、 贺龙、 叶挺、 刘伯承等一批爱国将领发动起义，誓要组建一支真正属于人民的军队。铁血铸军魂，舍己保家国 。,https://p0.pipi.cn/mmdb/d2dad5927e10fab5359ab4fbf267556dd9cc4.jpg?imageView2/1/w/464/h/644
悲伤逆流成河,剧情 爱情 家庭,落落,赵英博 任敏 辛云来 章若楠,2018-09-21,多组校园欺凌事件，打破了5位主角本应该美好的青春校园生活。齐铭 （ 赵英博 饰）清俊帅气，是人人称颂的优等生，而易遥 （ 任敏 饰）却是大家口中的“赔钱货”。两人一同长大，感情很好。而这一切，在转学生唐小米 （ 朱丹妮 饰）出现之后发生了翻天覆地的变化。流言成了毁人利器，处处对易遥进行刁难，易遥的生活开始陷入黑暗，遭受各类残酷欺凌。顾森西 （ 辛云来 饰）教会易遥对校园暴力进行反击，他的出现给了易遥一丝曙光。可阴差阳错，顾森湘 （ 章若楠 饰）的意外却将她再度推入黑暗。当受害者变成施暴者，当看客变成助推，在这一场名为“玩笑”的闹剧中，没有旁观者，只有施暴者 。,https://p0.pipi.cn/mmdb/d2dad5925372ff51ba2ff76cd123c67fb7007.jpg?imageView2/1/w/464/h/644
我的世界,剧情,未公布,,,暂无剧情简介,https://p0.pipi.cn/mmdb/fb73862f71f923300bf0eeb1f14e8fa27c01b.jpg?imageView2/1/w/464/h/644
爱情公寓,喜剧 爱情,韦正,陈赫 娄艺潇 邓家佳 孙艺洲,2018-08-10,你的月亮我的心电台被临时改成了盗墓笔记深夜广播剧，曾小贤 （ 陈赫 饰）也不得不去读盗墓笔记。曾小贤、胡一菲 （ 娄艺潇 饰）、吕子乔 （ 孙艺洲 饰）、张伟 （ 李佳航 饰）、唐悠悠 （ 邓家佳 饰）、陈美嘉 （ 李金铭 饰）的故事继续展开，这一次，他们打算搞个大事情。在曾小贤的一次梦中，他与爱情公寓的伙伴们误打误撞进入了盗墓笔记的世界。,https://p0.pipi.cn/mmdb/d2dad5920307e167cb8077a6982edea422bd5.jpg?imageView2/1/w/464/h/644
摇滚诗人:未知的传奇,剧情 音乐 传记,詹姆斯·曼高德,提莫西·查拉梅 爱德华·哈里森·诺顿 艾丽·范宁 莫妮卡·巴巴罗,2025-04-22,影片以1960年代初的纽约音乐界为背景，讲述19岁的鲍勃·迪伦，从一名不见经传的民谣歌手迅速声名鹊起，他的歌曲和神秘感在全世界引起轰动。1965年的纽波特民谣节上，他首次在舞台上使用了电吉他，他的音乐从民谣转向摇滚乐。,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa3343dea46e3374c9a13a9c28f600937994.jpg?imageView2/1/w/464/h/644
冰雪·情缘,喜剧 爱情 励志 青春,刘欣翰,陈梦希 何奉天 维克多,2024-12-30,在银装素裹的世界里，一场冰雪主题电影即将带你开启奇幻之旅。感受来自“尔滨”冰雪的纯净与美丽，体验刺激的冒险与动人的情感。快来沉浸在这个冰雪王国中，一同领略电影的魅力吧！电影《冰雪·情缘》是一部以冰雪文化为脉络，以青春爱情为故事渲染的现实题材电影。“90后”新生代年轻人为打造独具中国的“冰雪迪斯尼乐园”，汇聚到了哈尔滨，在他们追梦、圆梦的过程中，不但获得了事业的成功，还意外获得了爱情。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c147f06e3fa4615d534efc13c394531e.jpg?imageView2/1/w/464/h/644
OVERLORD 不死者之王,奇幻 动画,未公布,,,暂无剧情简介,https://p0.pipi.cn/mmdb/25bfd6022ff51b1789cf3eecc93cfc0ae1bc0.jpg?imageView2/1/w/464/h/644
731恐怖女体试验,灾难,未公布,,1999-01-01,片中讲述冷香和全宝的一对苦命夫妻；池部和静子的一段凄凉爱情；909和佐川的一段深刻的师生之情。日本军国主义者在中国发动了 9.18事变，他们的大炮和刺刀沾着中国人的鲜血，在这片被烧焦的土地上留下了灾难和耻辱。武装侵略的同时，沿着苏满国境建立了以哈尔滨为总部的代号为731的细菌部队，为了细菌武器的研制，他们逮捕了数以千万的中国人、苏联人、 蒙古人、朝鲜人，对其进行了惨绝人寰的 鼠疫、 伤寒、 痢疾、 性病等多项 细菌的活体实验、 活体解剖，这些被实验的人被称其为“马路大”，并以 毒气、 冷冻、 电击、 干燥、 饥饿、 性虐待等令人发指的残忍手段，致使无数生灵惨遭 杀戮，本片批露了 731细菌部队下属的一个分部对妇女儿童－仅女子“马鲁达”的触目惊心的实验、 摧残。,https://p0.pipi.cn/mmdb/d2dad592b125bf3ba351baeb72c8144e652fa.jpg?imageView2/1/w/464/h/644
新警察故事,动作 犯罪 悬疑,陈木胜,成龙 谢霆锋 杨采妮 蔡卓妍,2004-09-24,陈国荣是警队中的传奇人物，在从警的多年里，他几乎包办了警区内所有大案，破案率更是达百分之百，风头无人能及。关祖出身警察世家，但因为自幼受到父亲的虐打，始终仇恨警察，于是，他同其他4人一起，策划了一连串针对警察的猎杀行动。以他为首的超级罪犯五人组在打劫了银行的保险库之后，竟然主动按响警铃，公然挑战警方，等待警方到达时又以枪击警察为乐。罪犯五人组的武器先进、技艺高超，他们犯案的目的并不是为了钱，而是为了寻求将网上的猎杀游戏实践的刺激。荣表示要在三小时内还以颜色，于是他带领着手下的九个精英直闯贼窝，但秘密的逮捕行动却被同僚森出卖，整队人都被早已埋伏好的祖一伙人逐一杀害，包括女友可颐的亲弟浩康。荣虽死里逃生，但亲眼目睹队员们惨遭杀害，而自己却束手无策，惭愧内疚令他和可颐日渐疏远，最终分手，从此更是萎靡不振，终日酗酒度日。郑小锋是典型的新新人类，整天混在游戏机铺，精于胡吹瞎说，是个不折不扣的大话王。实际上，他在年幼时受到荣的帮助，所以很崇拜警察，虽然因为家庭背景无法做警察，却整天渴望当上正义的化身。一天，他的梦想终于有机会成真了，锋在路上遇到了自己的偶像荣，并把醉酒不醒的荣抬回了家。为令荣再度振作，也为了满足自己当警察的心愿，锋决定冒称是上司委派给荣的新拍档，逼他复职追查“超级罪犯”一案。就这样，凭借着胡混蒙骗的功夫，锋化身青年干探，大模大样的和荣一起回到了警局，成了荣的搭档，与荣一起追查这帮凶狠的杀人狂徒。荣与锋几次发现了罪犯的行踪，并与他们展开了激战，但都被他们逃脱了。当荣茫无头绪之际，锋率领一群网上游戏高手，破解了祖迷恋的网上游戏的密码，追查到了他们的行踪。最后，祖向荣提出单对单的玩命游戏，形式跟荣当日惨败之役一模一样。荣成功以冷静的心态在游戏中赢了祖，祖无法接受现实，仰天而悲笑。此时，飞虎队等迅速包围了现场，祖的父亲再次来到，并以父亲的名义命令祖向荣放下枪，荣劝阿祖放下枪，祖源于对父亲的痛恨，最终将一把没有子弹的枪故意对向荣，荣见状未能阻止对面远处的狙击手，两枪后，最后祖被击毙 。,https://p0.pipi.cn/mmdb/d2dad592b12338c9fde19bb94711712106641.jpg?imageView2/1/w/464/h/644
